,file_path,text,translation-roa,translation-itc,translation-narrativa
10,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Embora o número de acusações e de condenações seja baixo, mercê, muitas vezes, da falta de prova e de denúncias falsas, o facto é que a violência doméstica é real, acontece onde não se espera, onde não conhecemos e onde não imaginávamos e as consequências são gravíssimas, não só para a vítima, mas, obviamente, para a vítima.","Although the number of charges and convictions is low, thanks often to the lack of evidence and false complaints, the fact is that domestic violence is real, it happens where we do not know where we do not know and where we do not imagine and the consequences are very serious, not only for the victim, but obviously for the victim.","Although the number of accusations and convictions is low, thanks often to the lack of evidence and false complaints, the fact is that domestic violence is real, happens where it is not expected, where we do not know and where we did not imagine and the consequences are very serious, not only for the victim, but obviously for the victim.","Although the number of accusations and convictions is low, for the victim, it is often unexpected, where there is no"
11,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Se é verdade que a prevenção é absolutamente essencial— e foi nisso que trabalhámos na Legislatura anterior, tendo, por exemplo, criado as equipas de análise retrospetiva de homicídio em violência doméstica e o reforço da capacidade de intervenção das forças de segurança através dos planos individuais de segurança em função do risco de revitimização— , não é menos verdade que o apoio à vítima é crucial.","If it is true that prevention is absolutely essential — and that is what we have worked on in the previous Legislature, having, for example, set up the teams for retrospective analysis of homicide in domestic violence and strengthening the capacity of security forces to intervene through individual security plans in the light of the risk of revitalising — it is no less true that support for the victim is crucial.","If it is true that prevention is absolutely essential — and that is what we have worked on in the previous legislation, for example by setting up the after-effect analysis teams in domestic violence and strengthening the capacity of security forces to intervene through individual safety plans based on the risk of revitalization — it is no less true that support for the victim is crucial.",If it is true that prevention is absolutely essential—and this is not the case in our previous legislation—and that we have set up the
12,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"A vítima vê -se confrontada talvez com um dos momentos mais difíceis da sua vida e em que é preciso coragem para assumir e para enfrentar o drama por que passa e, por isso mesmo, o primeiro atendimento, sobretudo, é relevantíssimo, não só pelo conforto que devemos prestar à vítima, o à-vontade e a privacidade, como também por causa da investigação— e isto não é despiciendo, aliás, é muito importante— que se irá fazer a seguir e da prova que se irá produzir. Portanto, a maneira como é atendida a vítima com o primeiro impacto é essencial.","The victim is perhaps confronted with one of the most difficult moments of his life and it takes courage to take on and face the drama he is going through, and that is why the first assistance, above all, is very important, not only because of the comfort we must give the victim, the will and the privacy, but also because of the investigation—and this is not, indeed, very important—that will be done next and the proof that will be produced. Therefore, the way the victim is treated with the first impact is essential.","The victim is perhaps faced with one of the most difficult moments in his life and when it takes courage to take on and face the drama because of what is happening and, therefore, the first care, above all, is very relevant, not only for the comfort that we should give to the victim, the will and privacy, as well as because of the investigation—and this is not really important—that will be done next and the proof that will be produced. Therefore, the way the victim is treated with the first impact is essential.","The victim is very important, and the proof that will be given may be the most difficult time of her life, and in which the victim is"
13,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Sabemos que mais de 50 % das denúncias são feitas presencialmente nos postos policiais— e há que enaltecer o excelente trabalho das forças e serviços de segurança nesta matéria— e sabemos que já há mais de 60 % do território nacional coberto com salas de atendimento à vítima e, num mundo igual, num mundo em que todos nós gostaríamos de viver, não hesitaríamos em impor por decreto, de imediato, salas do género. no entanto, sabendo nós que vivemos no mundo possível e no mundo real, propomos que, na medida do possível, haja um reforço das condições das salas de atendimentos já existentes e a criação de novas onde não existam, não sem antes fazer um levantamento da distribuição territorial a fim de ser feita uma análise detalhada que nos permita fazer uma priorização das necessidades, exatamente porque não vivemos num mundo ideal e temos de escolher aquelas que são mais essenciais.","We know that more than 50 % of complaints are made in police stations — and we must praise the excellent work of the security forces and services in this area — and we know that there are already more than 60 % of the national territory covered with victim care rooms and, in an equal world, in a world in which we would all like to live, we would not hesitate to impose by decree immediately gender rooms. however, knowing that we live in the possible world and in the real world, we propose that, as far as possible, there be a strengthening of the conditions of the already existing care rooms and the creation of new ones where they do not exist, not without first making a survey of the territorial distribution in order to be made a detailed analysis that allows us to make a prioritization of needs, precisely because we do not live in an ideal world and we have to choose those that are most essential.","We know that more than 50% of complaints are made in front of the police stations—and we must enhance the excellent work of the security forces and services in this area—and we know that there is already more than 60% of the national territory covered with victim care rooms and, in an equal world, in a world where we would all like to live, we would not hesitate to impose by decree, immediately, gender rooms. however, knowing that we live in the possible world and in the real world, we propose that, as far as possible, there be a strengthening of the conditions of the existing service rooms and the creation of news where they do not exist, not before doing a survey of the territorial distribution in order to be made a detailed analysis that allows us to make a priority of the needs, precisely because we do not live in an ideal world and we have to choose those that are most essential.","We know that more than 50 % of complaints are made in a world where there is no place to live, where there is no place to live"
14,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,Muito bem!,All right!,All right!,All right!
15,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"De resto, aproveito esta oportunidade para recomendar ao Governo que, a propósito da lei da programação das infraestruturas e equipamentos das forças e serviços de segurança, aloque uma verba específica para este efeito.","Furthermore, I would like to take this opportunity to recommend to the Government that, with regard to the law on the planning of the infrastructure and equipment of the security forces and services, it allocate a specific amount for this purpose.","Moreover, I take this opportunity to recommend to the Government that, with regard to the law on the programming of the infrastructure and equipment of the security forces and services, allocate a specific amount for this purpose.","In fact, I take this opportunity to recommend that the government, with regard to the law of programming infrastructure and equipment, allocate a specific amount"
16,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"O Governo tem, pura e simplesmente, recusado dizer que verba é destinada a quê, a que força ou a que serviço e em que prazo. ao menos, nesta matéria, que diga para que é que aloca a verba e como é que hierarquiza as prioridades.","The government has simply refused to say that money is intended for what, for what strength or service, and for what period of time. at least in this regard, tell us what to allocate the money for and how to prioritize it.","The Government has simply refused to say that money is intended for what, to which force or to which service and within what time limit. at least in this respect, to say why it allocates the money and how it hierarchys priorities.","The government has simply refused to say what money is meant to what, how it is meant to what, how it is meant to what, how"
17,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Para apresentar o projeto de resolução do Partido Socialista , tem a palavra a Sr.ª Deputada Elza Pais .","To present the Socialist Party's draft resolution, Mrs Elza Pais has the floor.","To present the draft resolution of the Socialist Party, Mrs Elza Pais has the floor.","To present the motion for a resolution of the Socialist Party, Mrs Elza Pais."
18,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Sr. Presidente , Sr.as e Srs. Deputados: A violência doméstica é uma grave violação dos direitos humanos e é um dos aspetos mais gritantes da desigualdade de género, representando um desequilíbrio de poder entre homens e mulheres.","Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. Members: Domestic violence is a serious violation of human rights and is one of the most critical aspects of gender inequality, representing an imbalance of power between men and women.","Mr. President, ladies and gentlemen. Members: Domestic violence is a serious violation of human rights and is one of the most striking aspects of gender inequality, representing an imbalance in power between men and women.","Mr President, ladies and gentlemen, inequalities are a serious violation of human rights and are one of the most important aspects of"
19,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Estamos perante uma realidade atroz: quase 27 000 pessoas apresentam queixa todos os anos às forças de segurança, sendo que destas 85 % são mulheres e, nos últimos 10 anos, 450 mulheres foram brutalmente assassinadas pelos seus parceiros. Sabemos também, pela Agência dos Direitos Fundamentais da União Europeia , que 67 % continua a não denunciar a violência que as vitima.","We are faced with an appalling reality: almost 27 000 people complain every year to the security forces, of which 85 % are women, and in the last 10 years 450 women have been brutally murdered by their partners. We also know from the European Union's Fundamental Rights Agency that 67 % continue not to denounce violence against them.","We are faced with a terrible reality: almost 27 000 people complain every year to the security forces, and 85% of these are women and, in the last 10 years, 450 women have been brutally murdered by their partners. We also know from the European Union Agency for Fundamental Rights that 67 % still does not report violence against them.","We are faced with a dramatic situation: almost 27 000 people continue not to complain about violence every year to the security forces, and 85 % of"
20,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"O combate a este fenómeno tem sido feito sem tréguas, desde o ano 2000 , de forma transversal por todas as governações. Saúdo , por isso, o empenho de todas as forças políticas nesta luta, bem visível na apresentação destes cinco diplomas.","The fight against this phenomenon has been carried out without truce, since the year 2000, in a transversal way by all governments. I therefore welcome the commitment of all political forces in this struggle, clearly visible in the presentation of these five diplomas.","The fight against this phenomenon has been done smoothly since 2000 in a cross-sectional manner by all governments. I therefore welcome the commitment of all political forces in this struggle, which is clearly visible in the presentation of these five diplomas.",The fight against this phenomenon has been fought without truce since the year 2000 in a cross-sectional way by all the
21,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"nesta governação, está em curso uma estratégia integrada e territorializada de prevenção, de combate e de proteção das vítimas, com forte envolvimento das autarquias e das organizações não-governamentais.","in this governance, an integrated and territorialized strategy of prevention, combat and protection of victims is under way, with strong involvement of local authorities and non-governmental organizations.","in this governance, an integrated and territorialized strategy of prevention, combat and protection of victims is under way, with strong involvement of authorities and non-governmental organizations.","In this governing, an integrated and territorialized prevention, combat and protection strategy is underway with strong involvement of the non-govern"
22,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,Esta estratégia quebra as assimetrias dos apoios.,This strategy breaks support asymmetries.,This strategy breaks the asymmetries of support.,This strategy breaks the assimilation of support.
23,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Para além disso , foi aberto um centro de crise para vítimas de violência doméstica, foi criado um serviço de apoio a vítimasLGBTI ( lésbicas, gays, bissexuais, transsexuais e intersexuais) , o que é verdadeiramente pioneiro, ontem foi lançada a AppVD ( APPoio Contra a Violência Doméstica ) , uma aplicação para smartphones, um instrumento simples, poderoso e de grande eficácia para acesso imediato em qualquer local do País e a qualquer hora.","In addition, a crisis centre was opened for victims of domestic violence, a support service for LGBTI victims (Lesbians, Gays, Bisexuals, Transsexuals and Intersexuals) was created, which is truly pioneering, yesterday was launched the AppVD ( APPOY Against Domestic Violence), an app for smartphones, a simple, powerful and highly effective tool for immediate access anywhere in the country and at any time.","In addition, a crisis centre was opened for victims of domestic violence, a victim support service was created (LGBTI lesbians, gays, bisexuals, transsexuals and intersexuals), which is truly pioneer, yesterday was launched to AppVD (apppoio Contra la Violência Doméstica), an application for smartphones, a simple, powerful and highly effective instrument for immediate access anywhere in the country and at any time.","In addition, a simple, powerful and rapidly-established tool for victims of domestic violence has been launched, an application for smartphones ( gays, gays, gays, gays, gays, gays, gay"
24,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Esta aplicação vai diminuir o fosso da diferença de respostas a nível do território, vai oferecer apoio às vítimas mesmo nas zonas onde há menor resposta, como no interior do País, vai identificar os serviços de aconselhamento jurídico e psicológico e, por isso, também vai facilitar a comunicação de denúncias.","This application will narrow the gap in the difference of responses at the territory level, it will offer support to victims even in areas where there is less response, as in the interior of the country, it will identify legal and psychological counseling services and, therefore, it will also facilitate the communication of complaints.","This application will decrease the gap in the difference of responses at the level of the territory, will provide support to victims even in areas where there is less response, such as within the country, will identify the legal and psychological counselling services and will therefore also facilitate reporting.","This application will reduce the gap of the difference of responses at the level of the territory, will provide support to the victims even in the"
25,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"A violência doméstica está, como todas e todos sabemos, enraizada em valores civilizacionais e culturais muito difíceis de alterar, pelo que precisamos não só da combater mas também duma estratégia forte de prevenção que seja eficaz e continuada para que se evite a reprodução da violência junto das novas gerações.","Domestic violence is, as we all know, rooted in civilizational and cultural values that are very difficult to change, so we need not only to combat it but also a strong prevention strategy that is effective and continuous so that we avoid the reproduction of violence among the new generations.","Domestic violence is, as we all know, rooted in very difficult civilizational and cultural values, so we need not only to fight but also a strong prevention strategy that is effective and continuous in order to avoid the reproduction of violence among new generations.","The domestic violence is, as we all know, rooted in very difficult civilizational and cultural values that are effective and difficult to change, so that"
26,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,Assim se vai à raiz do problema e ao sítio onde a opressão e a subjugação se constroem em função do género.,Thus one goes to the root of the problem and to the place where oppression and subjugation are built according to gender.,So you go to the root of the problem and to the place where oppression and subjugation are built on the basis of gender.,This goes to the root of the problem and to the place where the oppression and subjugation build on the basis of the gender.
27,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,É urgente prevenir a violência no namoro.,It is urgent to prevent violence in dating.,It is urgent to prevent violence in courtship.,It is imperative to prevent violence in the relationship.
28,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Saudamos o Governo pelo reforço das ações de sensibilização, pelo lançamento da campanha « Muda de curso: violência no namoro não é para ti» , pelos projetos de prevenção que atingirão mais de 15 000 jovens em todo o País, pela criação duma linha de apoio ao combate à violência no namoro e pela inclusão da temática da violência e de estereótipos de género nos currículos escolares desde o ensino básico até ao superior.","We welcome the Government for strengthening awareness-raising activities, launching the campaign ""Change course: violence in dating is not for you"", for prevention projects that will reach more than 15,000 young people across the country, for creating a line of support to combat violence in dating and for including the theme of violence and gender stereotypes in school curricula from basic to higher education.","We welcome the Government's increased awareness-raising efforts, the launch of the campaign « Change of course: violence in dating is not for you », the prevention projects that will reach more than 15 000 young people throughout the country, the creation of a line of support to combat violence in dating and the inclusion of the theme of violence and gender stereotypes in school curricula from basic to higher education.","We welcome the government's strengthening of awareness of violence and gender-based actions, the launch of the 'Change course: violence in"
29,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"É para aprofundar esta estratégia que o Grupo Parlamentar do Partido Socialista propõe que a violência no namoro passe a ser desagregada no RASI ( Relatório Anual de Segurança Interna ) , porque o que não se conta é como se não existisse e o que não existe não se pode combater.","It is in order to deepen this strategy that the Socialist Party's Parliamentary Group proposes that violence in dating should be disaggregated in the RASI (Annual Report on Internal Security ), because what is not counted is as if it did not exist and what does not exist cannot be combated.","It is to deepen this strategy that the Socialist Party's Parliamentary Group proposes that dating violence become broken down in RASI (Annual Report on Internal Security ), because what does not count is as if it did not exist and what does not exist cannot be combated.",It is in order to deepen this strategy that the Socialist Group proposes that violence in the relationship becomes unbundling and what is not
