,file_path,text,translation-cs,translation-sla,translation-zlw
10,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"Děkuju a omlouvám se za komplikaci, že jsme to na poslední chvilku změnili.","Thank you, and I'm sorry for making this difficult for us to change at the last minute.",Thank you and I'm sorry for the complication that we changed for the last minute.,"Thank you, and I'm sorry for the complications that we've changed at the last minute."
11,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"Ano, děkuji.","Yes, thank you.","Yes, thank you.","Yes, thank you."
12,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"Dále nikoho přihlášeného nevidím, takže rozpravu končím.","I don't see anyone else logged in, so I'm done with the debate.","I can't see anyone else who's registered, so I'm closing the debate.","I still don't see anyone registered, so I'm finishing the debate."
13,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"V podrobné rozpravě, kterou tímto otvírám, také nemám žádnou přihlášku, takže končím podrobnou rozpravu.","I also have no application in the detailed debate that I am opening, so I am ending the detailed debate.","In the detailed debate I am opening, I also have no application, so I am putting an end to the detailed debate.","In the detailed debate I am opening, I also have no application, so I am finishing a detailed debate."
14,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"Přednesl bych tedy návrh usnesení s tím, že budeme hlasovat o modifikaci oné tabulky ve znění návrhu pana poslance Stanjury, pokud to nikdo nezpochybňuje a nebude chtít zvlášť hlasovat o tom přesazování.","I would therefore like to put forward a motion for a resolution, with a vote on the modification of the table as amended by Mr Stanjura's proposal, if no one disputes that and does not particularly want to vote on the transfer.","I would therefore like to put forward a motion for a resolution that we will vote on the amendment of the table as drafted by Mr Stanjura's proposal, unless there is any doubt about it and there is a particular desire to vote on it in particular.","I would therefore like to put forward a motion for a resolution that we will vote on the modification of that table, as amended by Mr Stanjura's proposal, unless no one questions that and will not want to vote in particular on this redeployment."
15,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"Myslím si, že je to dohoda v rámci klubu ODS a není třeba to podrobovat hlasování.",I think that this is an agreement within the ODS and there is no need to put it to the vote.,I think that this is an agreement within the ODS club and there is no need to submit to the vote.,I think it's an ODS agreement and there's no need to go to the vote.
16,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"Usnesení by znělo: ""Poslanecká sněmovna schvaluje zasedací pořádek poslanců v jednacím sále Poslanecké sněmovny podle předloženého návrhu ve znění pozměňovacího návrhu pana poslance Stanjury.""","The resolution would read: 'The Chamber of Deputies approves the sitting order of Members in the Chamber of Deputies' Chamber of Deputies in accordance with the proposal tabled, as amended by Mr Stanjura's amendment.'","The resolution would read: ""The Parliament of the Member States shall approve the meeting order of Members in the Chamber of Procedure of the Chamber of the Parliament in accordance with the proposal tabled as amended by Mr Stanjura's amendment.""","The resolution would be: ""The Chamber of Deputies approves the meeting order of Members in the Chamber of Deputies in accordance with the proposal tabled, as amended by Mr Stanjura's amendment."""
17,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,Nyní bych tedy zahájil hlasování.,I would therefore now begin the vote.,I would therefore now begin the vote.,I would now like to start the vote.
18,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"Kdo je pro, ať stiskne tlačítko a zvedne ruku.","All in favor, press the button and raise your hand.","Who's up for it, press the button and raise your hand.",Whoever's in it to press the button and raise your hand.
19,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,Kdo je proti tomuto návrhu?,Who opposes this proposal?,Who is against this proposal?,Who's against this proposal?
